timestamp,severity,root_cause,incident_risk,related_log_count,sample_related_logs
2026-01-01 00:28:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-01 01:53:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 03:11:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 03:48:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 05:59:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 06:13:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 08:31:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 09:08:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 10:53:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-01 11:19:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 11:27:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 12:09:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-01 12:14:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 12:37:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 12:47:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 12:58:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 14:13:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 16:02:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 16:09:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 16:12:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 16:57:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 17:16:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 18:39:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 19:03:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 19:26:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-01 19:44:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 21:06:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 22:14:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-01 22:44:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 22:59:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 23:27:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-01 23:55:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 00:20:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 00:59:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 03:27:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 03:28:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 03:33:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 03:51:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 04:56:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 05:45:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 05:52:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 06:03:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 06:05:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 06:15:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 06:32:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
